"ID","Name","Event ID","Title","Date Created","Date Modified","Permalink","Description","Start Date","End Date","Category","Category Slug","Hosts"
"76","Deep Dive: Certification and Accreditation with Angela Moore","","Deep Dive: Certification and Accreditation with Angela Moore","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p><span style=\"font-weight: 400;\">One of the many pathways for greening a museum or cultural site is through green building certifications.  With an integrative approach to implementing environmental sustainability practices for any organization, green b","2022-06-28 17:00:00","2022-06-28 18:00:00","Deep Dive Training","deep-dive-training",""
"77","Title TBD","","Title TBD","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>Some text goes here.</p>","2022-07-05 17:00:00","2022-07-05 18:00:00","Workshop","workshop","45"
"78","Social: Curators and Exhibitions","","Social: Curators and Exhibitions","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>Each first Wednesday of the month, we are inviting everyone to get together during this informal gathering with different themes. This month’s theme is Curators and exhibitions and the event will be hosted by Hannah Magnetta-Beck.</p>","2022-07-06 08:00:00","2022-07-06 09:00:00","Social","social","216,333,291"
"79","Office Hours","","Office Hours","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>These biweekly office hours help new champions and those who would like to have guidance into Ki Futures to understand the structure of the program and where to find everything they need to support their sustainability journey.</p>","2022-07-07 08:00:00","2022-07-07 09:00:00","Office Hours","office-hours",""
"80","Global Network Meeting: Champion Presentations","","Global Network Meeting: Champion Presentations","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>Share your work with your colleagues around the world! This is your chance to present and share your successes or ideas to get feedback and inspire. Make sure to let your Coach know if you want to present at this event!</p>","2022-07-12 08:00:00","2022-07-12 09:00:00","Global Network Meeting","global-network-meeting","45"
"81","Core Training: Exhibitions","","Core Training: Exhibitions","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p>Our first Core Training on Exhibitions will outline the places where we can be more environmentally conscious in our exhibition design, execution, and transport.</p>","2022-03-01 17:00:00","2022-03-01 18:00:00","Core Training","core-training",""
"82","European Theatre Convention Regional Network Meeting","","European Theatre Convention Regional Network Meeting","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p>Join our monthly RNM to connect with your Coach and other Champions. This is your time to ask questions and hear what how other Champions are progressing in their sustainability journeys.</p>","2022-03-02 15:00:00","2022-03-02 16:00:00","ETC Events","etc-events",""
"83","Christopher &#8211; Regional Network Meeting","","Christopher &#8211; Regional Network Meeting","2022-07-20 13:31:51","2022-07-21 13:24:07","","","2022-03-07 13:30:00","2022-03-07 14:30:00","Regional Network Meeting","regional-network-meeting",""
"84","Alice &#8211; Regional Network Meeting","","Alice &#8211; Regional Network Meeting","2022-07-20 13:31:51","2022-07-21 13:24:07","","","2022-03-08 11:00:00","2022-03-08 12:00:00","Regional Network Meeting","regional-network-meeting",""
"85","European Theatre Convention Core Training: Energy","","European Theatre Convention Core Training: Energy","2022-07-20 13:31:51","2022-07-21 13:24:07","","<p>Join us for this Core Training on Energy: where does it come from and where does it go? What is the link with carbon and how can we save money by saving energy?</p>","2022-03-09 15:00:00","2022-03-09 16:00:00","ETC Events","etc-events",""
"86","Douglas &#8211; Regional Network Meeting","","Douglas &#8211; Regional Network Meeting","2022-07-20 13:31:51","2022-07-21 13:24:07","","","2022-03-10 15:00:00","2022-03-10 16:00:00","Regional Network Meeting","regional-network-meeting",""
